loglik,mean_loglik,N,M,n_iter,cputime,mean_itertime,method,category
-50770.31690638893,-8.599308419103815,58,5904,24,1.1455190910000002,0.047729962125000004,grad,media
-50651.22423266873,-8.579136895777223,58,5904,23,1.2412814970000001,0.05396876073913044,grad,media
-50816.90800881926,-8.607199865992422,58,5904,24,1.269147476,0.05288114483333334,grad,media
-50763.27086485191,-8.59811498388413,58,5904,25,1.318583502,0.052743340080000006,grad,media
-50730.336382025496,-8.59253665007207,58,5904,24,1.2865909399999995,0.05360795583333331,grad,media
-50763.074665412634,-8.598081752271789,58,5904,26,1.363672459,0.05244894073076923,grad,media
-50720.95128647252,-8.590947033616619,58,5904,24,1.1583893429999998,0.048266222624999994,grad,media
-50770.376270312416,-8.599318473968905,58,5904,26,1.383840909,0.05322465034615384,grad,media
-50318.181511035786,-8.522727220703894,58,5904,44,2.320400775,0.05273638125,grad,media
-50436.17296035933,-8.542712222283084,58,5904,41,2.1928919399999995,0.05348516926829267,grad,media
-50729.52859419859,-8.592399829640684,58,5904,25,1.206366767,0.04825467068,grad,media
-50682.98431566106,-8.584516313628228,58,5904,24,1.1716117440000002,0.04881715600000001,grad,media
-50396.09799608596,-8.535924457331634,58,5904,59,2.956019762,0.05010202986440678,grad,media
-50725.11389775374,-8.59165208295287,58,5904,24,1.2893663159999997,0.05372359649999999,grad,media
-50666.53029611871,-8.581729386198969,58,5904,23,1.2335307359999998,0.053631771130434776,grad,media
-50702.36564508985,-8.587799059127684,58,5904,23,1.114049321,0.048436927,grad,media
-50745.69616241321,-8.595138238891126,58,5904,26,1.406565231,0.054098662730769236,grad,media
-50367.63975061653,-8.531104293803613,58,5904,44,2.329000357000001,0.052931826295454565,grad,media
-50727.24613885453,-8.592013234900834,58,5904,25,1.356478758,0.05425915032,grad,media
-50742.31335703949,-8.594565270501269,58,5904,24,1.346365181,0.05609854920833333,grad,media
-50091.05869682295,-8.484257909353481,58,5904,66,4.355064615000001,0.06598582750000001,mm,media
-50372.36215062151,-8.531904158303101,58,5904,34,2.1403943819999998,0.06295277594117646,mm,media
-50346.771464505415,-8.52756969249753,58,5904,33,2.0781470559999997,0.0629741532121212,mm,media
-50366.468805685225,-8.530905963022565,58,5904,30,1.9033894539999996,0.06344631513333332,mm,media
